id,VehicleMake,VehicleModel,VehicleManufactureYear,Year,SuggestionField
47,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR,20150101,2015,ALFA ROMEO GIULIETTA 1.4T DISTINCTIVE 5DR 2015
48,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR,20120401,2012,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR 2012
49,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR,20130101,2013,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR 2013
50,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR,20140101,2014,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR 2014
51,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR,20150101,2015,ALFA ROMEO GIULIETTA 1.4T TCT DISTINCTIVE 5DR 2015
52,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR,20101101,2010,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR 2010
53,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR,20110101,2011,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR 2011
54,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR,20120101,2012,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR 2012
55,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR,20130101,2013,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR 2013
56,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR,20140101,2014,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE 5DR 2014
57,ALFA ROMEO,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE TCT 5DR,20150101,2015,ALFA ROMEO GIULIETTA 1.8T QUAD VERDE TCT 5DR 2015
58,ALFA ROMEO,ALFA ROMEO ALFETTA 1800  EXEC.,19800101,1980,ALFA ROMEO ALFETTA 1800  EXEC. 1980
59,ALFA ROMEO,ALFA ROMEO ALFETTA SUPER EXEC,19800101,1980,ALFA ROMEO ALFETTA SUPER EXEC 1980
60,ALFA ROMEO,ALFA ROMEO ALFETTA SUPER EXEC,19810101,1981,ALFA ROMEO ALFETTA SUPER EXEC 1981
61,ALFA ROMEO,ALFA ROMEO ALFETTA SUPER EXEC,19820101,1982,ALFA ROMEO ALFETTA SUPER EXEC 1982
62,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 EXECUTIVE,19800101,1980,ALFA ROMEO ALFETTA 2000 EXECUTIVE 1980
63,ALFA ROMEO,ALFA ROMEO SUPER 2000,19820301,1982,ALFA ROMEO SUPER 2000 1982
64,ALFA ROMEO,ALFA ROMEO SUPER 2000,19830101,1983,ALFA ROMEO SUPER 2000 1983
65,ALFA ROMEO,ALFA ROMEO SUPER 2000,19840101,1984,ALFA ROMEO SUPER 2000 1984
66,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 GTV,19800101,1980,ALFA ROMEO ALFETTA 2000 GTV 1980
67,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 GTV,19810101,1981,ALFA ROMEO ALFETTA 2000 GTV 1981
68,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 GTV,19820101,1982,ALFA ROMEO ALFETTA 2000 GTV 1982
69,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 GTV,19830101,1983,ALFA ROMEO ALFETTA 2000 GTV 1983
70,ALFA ROMEO,ALFA ROMEO ALFETTA 2000 GTV,19840101,1984,ALFA ROMEO ALFETTA 2000 GTV 1984
71,ALFA ROMEO,ALFA ROMEO GTV V6 2.5 A/C,19820101,1982,ALFA ROMEO GTV V6 2.5 A/C 1982
72,ALFA ROMEO,ALFA ROMEO GTV V6 2.5 A/C,19830101,1983,ALFA ROMEO GTV V6 2.5 A/C 1983
73,ALFA ROMEO,ALFA ROMEO GTV V6 2.5 A/C,19840101,1984,ALFA ROMEO GTV V6 2.5 A/C 1984
74,ALFA ROMEO,ALFA ROMEO GTV V6 3.0,19830901,1983,ALFA ROMEO GTV V6 3.0 1983
75,ALFA ROMEO,ALFA ROMEO GTV V6 3.0,19840101,1984,ALFA ROMEO GTV V6 3.0 1984
76,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 TI & N,19800101,1980,ALFA ROMEO ALFASUD 1500 TI & N 1980
77,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 GL,19800101,1980,ALFA ROMEO ALFASUD 1500 GL 1980
78,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT,19800101,1980,ALFA ROMEO ALFASUD 1500 SPRINT 1980
79,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT,19810101,1981,ALFA ROMEO ALFASUD 1500 SPRINT 1981
80,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT,19820101,1982,ALFA ROMEO ALFASUD 1500 SPRINT 1982
81,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE,19800901,1980,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE 1980
82,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE,19810101,1981,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE 1981
83,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE,19820101,1982,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE 1982
84,ALFA ROMEO,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE,19830101,1983,ALFA ROMEO ALFASUD 1500 SPRINT VELOCE 1983
85,ALFA ROMEO,ALFA ROMEO EXPORT 1.3 & 1350,19801001,1980,ALFA ROMEO EXPORT 1.3 & 1350 1980
86,ALFA ROMEO,ALFA ROMEO EXPORT 1.3 & 1350,19810101,1981,ALFA ROMEO EXPORT 1.3 & 1350 1981
87,ALFA ROMEO,ALFA ROMEO EXPORT 1.3 & 1350,19820101,1982,ALFA ROMEO EXPORT 1.3 & 1350 1982
88,ALFA ROMEO,ALFA ROMEO EXPORT 1.3 & 1350,19830101,1983,ALFA ROMEO EXPORT 1.3 & 1350 1983
89,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 N & 1500,19801001,1980,ALFA ROMEO EXPORT 1.5 N & 1500 1980
90,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 N & 1500,19810101,1981,ALFA ROMEO EXPORT 1.5 N & 1500 1981
91,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 N & 1500,19820101,1982,ALFA ROMEO EXPORT 1.5 N & 1500 1982
92,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GL & 1500,19801001,1980,ALFA ROMEO EXPORT 1.5 GL & 1500 1980
93,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GL & 1500,19810101,1981,ALFA ROMEO EXPORT 1.5 GL & 1500 1981
94,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GL & 1500,19820101,1982,ALFA ROMEO EXPORT 1.5 GL & 1500 1982
95,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GL & 1500,19830101,1983,ALFA ROMEO EXPORT 1.5 GL & 1500 1983
96,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GL & 1500,19840101,1984,ALFA ROMEO EXPORT 1.5 GL & 1500 1984
97,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 VELOCE & 1500,19801001,1980,ALFA ROMEO EXPORT 1.5 VELOCE & 1500 1980
98,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 VELOCE & 1500,19810101,1981,ALFA ROMEO EXPORT 1.5 VELOCE & 1500 1981
99,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 VELOCE & 1500,19820101,1982,ALFA ROMEO EXPORT 1.5 VELOCE & 1500 1982
100,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 VELOCE & 1500,19830101,1983,ALFA ROMEO EXPORT 1.5 VELOCE & 1500 1983
101,ALFA ROMEO,ALFA ROMEO EXPORT 1.5 GTA,19840401,1984,ALFA ROMEO EXPORT 1.5 GTA 1984
102,ALFA ROMEO,ALFA ROMEO SUPER HATCH,19821101,1982,ALFA ROMEO SUPER HATCH 1982
103,ALFA ROMEO,ALFA ROMEO SUPER HATCH,19830101,1983,ALFA ROMEO SUPER HATCH 1983
104,ALFA ROMEO,ALFA ROMEO 33 16V  BOXER,19930301,1993,ALFA ROMEO 33 16V  BOXER 1993
105,ALFA ROMEO,ALFA ROMEO 33 16V  BOXER,19940101,1994,ALFA ROMEO 33 16V  BOXER 1994
106,ALFA ROMEO,ALFA ROMEO 33 16 V SPORTSWAGON,19930301,1993,ALFA ROMEO 33 16 V SPORTSWAGON 1993
107,ALFA ROMEO,ALFA ROMEO 33 16 V SPORTSWAGON,19940101,1994,ALFA ROMEO 33 16 V SPORTSWAGON 1994
108,ALFA ROMEO,ALFA ROMEO 145 2.0 QUADRIFOGLIO,19960401,1996,ALFA ROMEO 145 2.0 QUADRIFOGLIO 1996
109,ALFA ROMEO,ALFA ROMEO 145 2.0 QUADRIFOGLIO,19970101,1997,ALFA ROMEO 145 2.0 QUADRIFOGLIO 1997
110,ALFA ROMEO,ALFA ROMEO 145 2.0 QUADRIFOGLIO,19980101,1998,ALFA ROMEO 145 2.0 QUADRIFOGLIO 1998
111,ALFA ROMEO,ALFA ROMEO 145 2.0 QUADRIFOGLIO,19990101,1999,ALFA ROMEO 145 2.0 QUADRIFOGLIO 1999
112,ALFA ROMEO,ALFA ROMEO 145 2.0 QUADRIFOGLIO,20000101,2000,ALFA ROMEO 145 2.0 QUADRIFOGLIO 2000
113,ALFA ROMEO,ALFA ROMEO 146 2.0 TI,19960401,1996,ALFA ROMEO 146 2.0 TI 1996
114,ALFA ROMEO,ALFA ROMEO 146 2.0 TI,19970101,1997,ALFA ROMEO 146 2.0 TI 1997
115,ALFA ROMEO,ALFA ROMEO 146 2.0 TI,19980101,1998,ALFA ROMEO 146 2.0 TI 1998
116,ALFA ROMEO,ALFA ROMEO 146 2.0 TI,19990101,1999,ALFA ROMEO 146 2.0 TI 1999
117,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 3DR,20010601,2001,ALFA ROMEO 147 1.6 T.SPARK 3DR 2001
118,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 3DR,20020101,2002,ALFA ROMEO 147 1.6 T.SPARK 3DR 2002
119,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 3DR,20030101,2003,ALFA ROMEO 147 1.6 T.SPARK 3DR 2003
120,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 3DR,20040101,2004,ALFA ROMEO 147 1.6 T.SPARK 3DR 2004
121,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 3DR,20050701,2005,ALFA ROMEO 147 1.6 PROGRESSION 3DR 2005
122,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 3DR,20060101,2006,ALFA ROMEO 147 1.6 PROGRESSION 3DR 2006
123,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 3DR,20070101,2007,ALFA ROMEO 147 1.6 PROGRESSION 3DR 2007
124,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 3DR,20080101,2008,ALFA ROMEO 147 1.6 PROGRESSION 3DR 2008
125,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 3DR,20090101,2009,ALFA ROMEO 147 1.6 PROGRESSION 3DR 2009
126,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 5DR,20020801,2002,ALFA ROMEO 147 1.6 T.SPARK 5DR 2002
127,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 5DR,20030101,2003,ALFA ROMEO 147 1.6 T.SPARK 5DR 2003
128,ALFA ROMEO,ALFA ROMEO 147 1.6 T.SPARK 5DR,20040101,2004,ALFA ROMEO 147 1.6 T.SPARK 5DR 2004
129,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 5DR,20050701,2005,ALFA ROMEO 147 1.6 PROGRESSION 5DR 2005
130,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 5DR,20060101,2006,ALFA ROMEO 147 1.6 PROGRESSION 5DR 2006
131,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 5DR,20070101,2007,ALFA ROMEO 147 1.6 PROGRESSION 5DR 2007
132,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 5DR,20080101,2008,ALFA ROMEO 147 1.6 PROGRESSION 5DR 2008
133,ALFA ROMEO,ALFA ROMEO 147 1.6 PROGRESSION 5DR,20090101,2009,ALFA ROMEO 147 1.6 PROGRESSION 5DR 2009
134,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD 5DR,20041001,2004,ALFA ROMEO 147 1.9 JTD 5DR 2004
135,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD PROGRESSION 5DR,20050701,2005,ALFA ROMEO 147 1.9 JTD PROGRESSION 5DR 2005
136,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD PROGRESSION 5DR,20060101,2006,ALFA ROMEO 147 1.9 JTD PROGRESSION 5DR 2006
137,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR,20050701,2005,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR 2005
138,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR,20060101,2006,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR 2006
139,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR,20070101,2007,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR 2007
140,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR,20080101,2008,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR 2008
141,ALFA ROMEO,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR,20090101,2009,ALFA ROMEO 147 1.9 JTD M/JET DISTINCTIVE 5DR 2009
142,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 3DR,20020801,2002,ALFA ROMEO 147 2.0 T.SPARK 3DR 2002
143,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 3DR,20030101,2003,ALFA ROMEO 147 2.0 T.SPARK 3DR 2003
144,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 3DR,20040101,2004,ALFA ROMEO 147 2.0 T.SPARK 3DR 2004
145,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR,20050701,2005,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR 2005
146,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR,20060101,2006,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR 2006
147,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR,20070101,2007,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR 2007
148,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR,20080101,2008,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR 2008
149,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR,20090101,2009,ALFA ROMEO 147 2.0 DISTINCTIVE 3DR 2009
150,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 5DR,20020801,2002,ALFA ROMEO 147 2.0 T.SPARK 5DR 2002
151,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 5DR,20030101,2003,ALFA ROMEO 147 2.0 T.SPARK 5DR 2003
152,ALFA ROMEO,ALFA ROMEO 147 2.0 T.SPARK 5DR,20040101,2004,ALFA ROMEO 147 2.0 T.SPARK 5DR 2004
153,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR,20050701,2005,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR 2005
154,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR,20060101,2006,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR 2006
155,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR,20070101,2007,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR 2007
156,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR,20080101,2008,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR 2008
157,ALFA ROMEO,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR,20090101,2009,ALFA ROMEO 147 2.0 DISTINCTIVE 5DR 2009
158,ALFA ROMEO,ALFA ROMEO 147 2.0 SELESPEED 3DR,20010601,2001,ALFA ROMEO 147 2.0 SELESPEED 3DR 2001
159,ALFA ROMEO,ALFA ROMEO 147 2.0 SELESPEED 3DR,20020101,2002,ALFA ROMEO 147 2.0 SELESPEED 3DR 2002
160,ALFA ROMEO,ALFA ROMEO 147 2.0 SELESPEED 3DR,20030101,2003,ALFA ROMEO 147 2.0 SELESPEED 3DR 2003
161,ALFA ROMEO,ALFA ROMEO 147 2.0 SELESPEED 3DR,20040101,2004,ALFA ROMEO 147 2.0 SELESPEED 3DR 2004
162,ALFA ROMEO,ALFA ROMEO 147 3.2 V6 GTA,20040801,2004,ALFA ROMEO 147 3.2 V6 GTA 2004
163,ALFA ROMEO,ALFA ROMEO MITO 1.4 PROGRESSION,20100501,2010,ALFA ROMEO MITO 1.4 PROGRESSION 2010
164,ALFA ROMEO,ALFA ROMEO MITO 1.4 DISTINCTIVE,20090601,2009,ALFA ROMEO MITO 1.4 DISTINCTIVE 2009
165,ALFA ROMEO,ALFA ROMEO MITO 1.4 DISTINCTIVE,20100101,2010,ALFA ROMEO MITO 1.4 DISTINCTIVE 2010
166,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE,20110901,2011,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE 2011
167,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE,20120101,2012,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE 2012
168,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE,20130101,2013,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE 2013
169,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE,20140101,2014,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE 2014
170,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE,20150101,2015,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE 2015
171,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT,20120301,2012,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT 2012
172,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT,20130101,2013,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT 2013
173,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT,20140101,2014,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT 2014
174,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT,20150101,2015,ALFA ROMEO MITO 1.4T MULTIAIR DISTINCTIVE TCT 2015
175,ALFA ROMEO,ALFA ROMEO MITO 1.4 QV,20100501,2010,ALFA ROMEO MITO 1.4 QV 2010
176,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV,20110901,2011,ALFA ROMEO MITO 1.4T MULTIAIR QV 2011
177,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV,20120101,2012,ALFA ROMEO MITO 1.4T MULTIAIR QV 2012
178,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV,20130101,2013,ALFA ROMEO MITO 1.4T MULTIAIR QV 2013
179,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV,20140101,2014,ALFA ROMEO MITO 1.4T MULTIAIR QV 2014
180,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV,20150101,2015,ALFA ROMEO MITO 1.4T MULTIAIR QV 2015
181,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT,20110901,2011,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT 2011
182,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT,20120101,2012,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT 2012
183,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT,20130101,2013,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT 2013
184,ALFA ROMEO,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT,20140101,2014,ALFA ROMEO MITO 1.4T MULTIAIR QV SPORT 2014
